"","AMHE_ANG","AMHE_VOLT","BOWM_ANG","BOWM_VOLT","CLAR_ANG","CLAR_VOLT","CROSS_ANG","CROSS_VOLT","GRAN_ANG","GRAN_VOLT","MAPL_ANG","MAPL_VOLT","TROY_ANG","TROY_VOLT","WAUT_ANG","WAUT_VOLT","WINL_ANG","WINL_VOLT"
"146","0.3743069185553852","0.0","0.15187286402918485","0.12637453997202971","0.0","0.0","0.2289521212566671","0.08697820526687725","0.41233203817200664","0.14034643169696395","0.546308654374039","0.24897594075924637","0.07299730726488042","0.04127513936465206","0.37161960076765144","0.10844042153841882","0.5867987007773803","-0.25"
"147","-0.11580966620437078","-0.5","-0.023336260795155717","0.3232253941258513","0.0","0.0","-0.01135170267729599","0.27923110923406186","-0.1394132900470867","0.15497322053065754","-0.2408505689803961","0.13149749345775105","0.0027093772249363315","0.3102197356575639","-0.11207365894549429","0.21887966462074554","-0.318928178815086","0.0"
"148","0.44487989266845157","0.0","0.18160810626439156","0.09564617769136888","0.0","0.0","0.2853131275802632","0.06634041580363444","0.48460891867602285","0.1385387658350555","0.6259765875447793","0.24812286631781072","0.0658124941688511","-0.004071577533445786","0.4412661437769084","0.09250854028461442","0.668858650796759","0.0"
"149","0.622140851728374","-0.25","0.7621557970591036","0.2885457195168687","0.0","0.0","0.6547311069669018","0.3862648932259596","0.6091802055498415","0.48787436982306426","0.5895416362728019","0.4054873120951407","0.8075724302053586","0.40358417320875034","0.6204370639143002","0.4544314463815997","0.630616406634949","-0.5"
"15","0.5921582222211632","-0.25","0.7317276649256357","0.357462882227353","0.0","0.0","0.6168670981006898","0.45380254108228185","0.5834659238663749","0.46991122382655953","0.5657885995526389","0.42848121724122396","0.7857315499186635","0.4771850024182075","0.5909686466311072","0.4731909390733692","0.6060477611950081","0.0"
"150","0.4186381992037044","0.0","0.18117404767442286","0.11722037663045244","0.0","0.0","0.263784085778628","0.07732032006238963","0.4580117380856776","0.14035763015869146","0.5966645599310066","0.24911374263398264","0.09181194374922264","0.03613172112318843","0.4153906723805938","0.100455952309186","0.638663434503136","-0.5"
"151","0.4229076626676968","0.0","0.18590761856971713","0.11614371812211427","0.0","0.0","0.2755502351617627","0.08246463369717841","0.46003100578832895","0.14100657058040164","0.5988829401972205","0.24953708739644853","0.08694765087779792","0.028597598021430602","0.41965616840393105","0.10434849953639287","0.6409463742950333","-0.75"
"152","-0.14821824014268095","0.0","-0.05715416803920389","0.3168255198973245","0.0","0.0","-0.03284975325430916","0.2788965842693628","-0.17481812536245703","0.1410574487048864","-0.277025545467326","0.11600423126184994","-0.041384543910831344","0.29298868851480525","-0.14424082489606913","0.2089120627898915","-0.3561875295483292","-0.25"
"153","0.39997320303991707","-0.25","0.17971467851502304","0.12769478832315276","0.0","0.0","0.26403154134888457","0.09464334161857259","0.4346151369175749","0.14212884780539317","0.5708635972357178","0.2501438133488169","0.08796522343105186","0.04154546284847176","0.3970644966773343","0.11342436326219554","0.6120843511469459","-0.5"
"154","-0.15499170916391725","-0.25","-0.07466112863412279","0.306609236158755","0.0","0.0","-0.0581860029261796","0.26234445045381627","-0.17550544539436566","0.14505032628321263","-0.278811462281556","0.1171851576200204","-0.04652117854522533","0.2901996235336009","-0.1509757131486728","0.20570991378338724","-0.35802698066686245","0.0"
